Connecticut,12.02
Maine,9.41
Massachusetts,12.12
New Hampshire,12.46
Rhode Island,11.75
Vermont,11.07
New Jersey,11.17
New York,13.16
Pennsylvania,8.27
Illinois,7.04
Indiana,5.86
Michigan,7.49
Ohio,7.07
Wisconsin,7.42
Iowa,6.74
Kansas,6.66
Minnesota,6.65
Missouri,6.19
Nebraska,5.88
North Dakota,5.97
South Dakota,6.61
Delaware,7.55
District of Columbia,9.05
Florida,8.76
Georgia,7.45
Maryland,7.83
North Carolina,7.29
South Carolina,6.73
Virginia,6.64
West Virginia,5.16
Alabama,6.51
Kentucky,4.96
Mississippi,7.57
Tennessee,6.31
Arkansas,6.25
Louisiana,8.04
Oklahoma,6.93
Texas,9.06
Arizona,7.89
Colorado,7.58
Idaho,5.10
Montana,6.75
Nevada,8.87
New Mexico,7.54
Utah,6.03
Wyoming,5.13
California,11.31
Oregon,6.22
Washington,5.71
Alaska,11.50
Hawaii,18.11
